Date,Cases
2011-01-03,59
2011-01-10,333
2011-01-17,145
2011-01-24,208
2011-01-31,174
2011-02-07,128
2011-02-14,190
2011-02-21,228
2011-02-28,149
2011-03-07,181
2011-03-14,131
2011-03-21,227
2011-03-28,158
2011-04-04,168
2011-04-11,181
2011-04-18,138
2011-04-25,129
2011-05-02,161
2011-05-09,121
2011-05-16,128
2011-05-23,150
2011-05-30,146
2011-06-06,115
2011-06-13,120
2011-06-20,140
2011-06-27,73
2011-07-04,91
2011-07-11,71
2011-07-18,61
2011-07-25,19
2011-08-01,16
2011-08-08,11
2011-08-15,17
2011-08-22,14
2011-08-29,13
2011-09-05,22
2011-09-12,42
2011-09-19,4
2011-09-26,18
2011-10-03,6
2011-10-10,10
2011-10-17,60
2011-10-24,103
2011-10-31,31
2011-11-07,103
2011-11-14,44
2011-11-21,91
2011-11-28,83
2011-12-05,111
2011-12-12,91
2011-12-19,163
2011-12-26,28
2012-01-02,106
2012-01-09,291
2012-01-16,185
2012-01-23,197
2012-01-30,147
2012-02-06,192
2012-02-13,190
2012-02-20,147
2012-02-27,131
2012-03-05,149
2012-03-12,99
2012-03-19,233
2012-03-26,146
2012-04-02,182
2012-04-09,68
2012-04-16,180
2012-04-23,142
2012-04-30,80
2012-05-07,194
2012-05-14,286
2012-05-21,129
2012-05-28,93
2012-06-04,199
2012-06-11,120
2012-06-18,151
2012-06-25,88
2012-07-02,87
2012-07-09,67
2012-07-16,52
2012-07-23,65
2012-07-30,6
2012-08-06,64
2012-08-13,18
2012-08-20,3
2012-08-27,0
2012-09-03,13
2012-09-10,9
2012-09-17,4
2012-09-24,8
2012-10-01,12
2012-10-08,13
2012-10-15,31
2012-10-22,35
2012-10-29,8
2012-11-05,73
2012-11-12,77
2012-11-19,21
2012-11-26,104
2012-12-03,105
2012-12-10,92
2012-12-17,192
2012-12-24,2
2012-12-31,67
2013-01-07,283
2013-01-14,135
2013-01-21,129
2013-01-28,203
2013-02-04,152
2013-02-11,107
2013-02-18,185
2013-02-25,110
2013-03-04,138
2013-03-11,100
2013-03-18,228
2013-03-25,130
2013-04-01,137
2013-04-08,235
2013-04-15,138
2013-04-22,166
2013-04-29,122
2013-05-06,149
2013-05-13,124
2013-05-20,187
2013-05-27,195
2013-06-03,130
2013-06-10,126
2013-06-17,154
2013-06-24,149
2013-07-01,106
2013-07-08,151
2013-07-15,100
2013-07-22,91
2013-07-29,46
2013-08-05,38
2013-08-12,13
2013-08-19,22
2013-08-26,33
2013-09-02,9
2013-09-09,14
2013-09-16,48
2013-09-23,7
2013-09-30,18
2013-10-07,6
2013-10-14,21
2013-10-21,30
2013-10-28,21
2013-11-04,79
2013-11-11,64
2013-11-18,55
2013-11-25,18
2013-12-02,101
2013-12-09,63
2013-12-16,59
2013-12-23,6
2013-12-30,26
2014-01-06,150
2014-01-13,80
2014-01-20,82
2014-01-27,58
2014-02-03,84
2014-02-10,59
2014-02-17,60
2014-02-24,116
2014-03-03,99
2014-03-10,112
2014-03-17,197
2014-03-24,116
2014-03-31,215
2014-04-07,82
2014-04-14,155
2014-04-21,80
2014-04-28,13
2014-05-05,70
2014-05-12,391
2014-05-19,178
2014-05-26,124
2014-06-02,235
2014-06-09,88
2014-06-16,187
2014-06-23,140
2014-06-30,111
2014-07-07,72
2014-07-14,75
2014-07-21,44
2014-07-28,40
2014-08-04,37
2014-08-11,10
2014-08-18,6
2014-08-25,7
2014-09-01,5
2014-09-08,10
2014-09-15,11
2014-09-22,16
2014-09-29,20
2014-10-06,17
2014-10-13,21
2014-10-20,34
2014-10-27,28
2014-11-03,44
2014-11-10,33
2014-11-17,85
2014-11-24,16
2014-12-01,95
2014-12-08,43
2014-12-15,35
2014-12-22,30
2014-12-29,259
