date,humidity (grams of water vapor per cubic meter volume of air)
7/19/2013,73.5
7/20/2013,90.66666667
7/21/2013,88
7/22/2013,80.33333333
7/23/2013,70.71428571
7/24/2013,84.14285714
7/25/2013,84.5
7/26/2013,73.85714286
7/27/2013,79
7/28/2013,67.42857143
7/29/2013,77.42857143
7/30/2013,75.66666667
7/31/2013,78.5
8/1/2013,73.5
8/2/2013,66.42857143
8/3/2013,62.33333333
8/4/2013,62.5
8/5/2013,77
8/6/2013,90.66666667
8/7/2013,85.25
8/8/2013,84
8/9/2013,87.5
8/10/2013,79.85714286
8/11/2013,76.83333333
8/12/2013,81.5
8/13/2013,72
8/14/2013,74.33333333
8/15/2013,85
8/16/2013,92
8/17/2013,91
8/18/2013,83.83333333
8/19/2013,84.66666667
8/20/2013,88.5
8/21/2013,81.16666667
8/22/2013,74.83333333
8/23/2013,73.14285714
8/24/2013,71.25
8/25/2013,90.75
8/26/2013,69.875
8/27/2013,57.28571429
8/28/2013,60.71428571
8/29/2013,57
8/30/2013,73
8/31/2013,71.75
9/1/2013,65.2
9/2/2013,50.85714286
9/3/2013,45.5
9/4/2013,48
9/5/2013,46
9/6/2013,55.71428571
9/7/2013,51.83333333
9/8/2013,71.75
9/9/2013,57.5
9/10/2013,66.33333333
9/11/2013,61.14285714
9/12/2013,60.33333333
9/13/2013,67.14285714
9/14/2013,67
9/15/2013,56.375
9/16/2013,60
9/17/2013,56.5
9/18/2013,58.57142857
9/19/2013,61.6
9/20/2013,70
9/21/2013,89
9/22/2013,79.66666667
9/23/2013,68
9/24/2013,65.75
9/25/2013,75
9/26/2013,78.8
9/27/2013,71.25
9/28/2013,67.33333333
9/29/2013,79.85714286
9/30/2013,84.57142857
10/1/2013,68.71428571
10/2/2013,61.4
10/3/2013,59
10/4/2013,84.33333333
10/5/2013,69
10/6/2013,66.5
10/7/2013,66.57142857
10/8/2013,69.4
10/9/2013,65.5
10/10/2013,66.28571429
10/11/2013,89.85714286
10/12/2013,82.57142857
10/13/2013,84.33333333
10/14/2013,74.85714286
10/15/2013,76.42857143
10/16/2013,75
10/17/2013,76.71428571
10/18/2013,73.16666667
10/19/2013,69.57142857
10/20/2013,67.83333333
10/21/2013,63.625
10/22/2013,53.6
10/23/2013,67.5
10/24/2013,73.14285714
10/25/2013,75.8
10/26/2013,78.2
10/27/2013,66.875
10/28/2013,63.16666667
10/29/2013,62.71428571
10/30/2013,67.42857143
10/31/2013,58.83333333
11/1/2013,69.14285714
11/2/2013,65
11/3/2013,57.875
11/4/2013,54.16666667
11/5/2013,74.33333333
11/6/2013,66.71428571
11/7/2013,73.14285714
11/8/2013,82.2
11/9/2013,73.57142857
11/10/2013,72
11/11/2013,61.85714286
11/12/2013,71.71428571
11/13/2013,65
11/14/2013,63.375
11/15/2013,67
11/16/2013,69.625
11/17/2013,67.42857143
11/18/2013,55.125
11/19/2013,63.5
11/20/2013,58.875
11/21/2013,66.25
11/22/2013,74.875
11/23/2013,77.85714286
11/24/2013,58.875
11/25/2013,49.875
11/26/2013,51.375
11/27/2013,68.5
11/28/2013,71.875
11/29/2013,66.625
11/30/2013,69.625
12/1/2013,65
12/2/2013,73.25
12/3/2013,73.5
12/4/2013,71.85714286
12/5/2013,69
12/6/2013,72.375
12/7/2013,80.5
12/8/2013,83.625
12/9/2013,79.25
12/10/2013,81.75
12/11/2013,71.875
12/12/2013,62.375
12/13/2013,67.71428571
12/14/2013,79
12/15/2013,86.25
12/16/2013,89.5
12/17/2013,92.875
12/18/2013,93
12/19/2013,89.125
12/20/2013,91.375
12/21/2013,94
12/22/2013,94
12/23/2013,88.25
12/24/2013,84.75
12/25/2013,63.16666667
12/26/2013,67.625
12/27/2013,79.875
12/28/2013,70
12/29/2013,69.42857143
12/30/2013,79.5
12/31/2013,89.375
1/1/2014,89.625
1/2/2014,78.375
1/3/2014,74.875
1/4/2014,88.125
1/5/2014,89
1/6/2014,86.28571429
1/7/2014,72.28571429
1/8/2014,76.875
1/9/2014,83
1/10/2014,85.375
1/11/2014,82.625
1/12/2014,80.875
1/13/2014,72.375
1/14/2014,76.75
1/15/2014,93.5
1/16/2014,90.57142857
1/17/2014,95.75
1/18/2014,94.25
1/19/2014,84.5
1/20/2014,83.5
1/21/2014,96.85714286
1/22/2014,96.125
1/23/2014,90.125
1/24/2014,88.875
1/25/2014,95.625
1/26/2014,85.75
1/27/2014,72.375
1/28/2014,69.875
1/29/2014,81.875
1/30/2014,83.25
1/31/2014,82.5
2/1/2014,79.375
2/2/2014,76.125
2/3/2014,63.85714286
2/4/2014,65.42857143
2/5/2014,72.75
2/6/2014,65.375
2/7/2014,67.25
2/8/2014,85.375
2/9/2014,63.375
2/10/2014,61.75
2/11/2014,64.625
2/12/2014,67
2/13/2014,64.5
2/14/2014,95.5
2/15/2014,89.5
2/16/2014,79
2/17/2014,66.125
2/18/2014,60.125
2/19/2014,75.375
2/20/2014,78.625
2/21/2014,72.25
2/22/2014,85.625
2/23/2014,80
2/24/2014,69.375
2/25/2014,69
2/26/2014,71.125
2/27/2014,76.625
2/28/2014,88.375
3/1/2014,87.28571429
3/2/2014,79
3/3/2014,65.625
3/4/2014,66.375
3/5/2014,67
3/6/2014,64
3/7/2014,62.875
3/8/2014,63.875
3/9/2014,56.625
3/10/2014,63.875
3/11/2014,70
3/12/2014,68.875
3/13/2014,60.625
3/14/2014,61.25
3/15/2014,62.625
3/16/2014,58.5
3/17/2014,52.125
3/18/2014,53.42857143
3/19/2014,57.375
3/20/2014,55
3/21/2014,64.75
3/22/2014,59.5
3/23/2014,61.875
3/24/2014,73.125
3/25/2014,60.25
3/26/2014,58.875
3/27/2014,63.25
3/28/2014,67.57142857
3/29/2014,55.625
3/30/2014,46.75
3/31/2014,44.125
4/1/2014,45.75
4/2/2014,43.375
4/3/2014,48
4/4/2014,47.85714286
4/5/2014,44
4/6/2014,45.25
4/7/2014,47.625
4/8/2014,41.875
4/9/2014,35.25
4/10/2014,29.25
4/11/2014,29
4/12/2014,39.875
4/13/2014,40.375
4/14/2014,46.625
4/15/2014,48.125
4/16/2014,53.625
4/17/2014,49.625
4/18/2014,64.375
4/19/2014,57.875
4/20/2014,48
4/21/2014,33.125
4/22/2014,29.375
4/23/2014,37
4/24/2014,35.875
4/25/2014,34.375
4/26/2014,32
4/27/2014,30
4/28/2014,27.875
4/29/2014,28.875
4/30/2014,25.5
5/1/2014,22.5
5/2/2014,24.75
5/3/2014,33.375
5/4/2014,34.375
5/5/2014,53.25
5/6/2014,51.14285714
5/7/2014,48.625
5/8/2014,43
5/9/2014,39.625
5/10/2014,37.625
5/11/2014,40.375
5/12/2014,53.375
5/13/2014,65.75
5/14/2014,55.25
5/15/2014,39.875
5/16/2014,40.25
5/17/2014,47.625
5/18/2014,35.375
5/19/2014,29.5
5/20/2014,34
5/21/2014,32.5
5/22/2014,33.375
5/23/2014,32.75
5/24/2014,50.5
5/25/2014,43.25
5/26/2014,54.125
5/27/2014,49.75
5/28/2014,44.5
5/29/2014,40.125
5/30/2014,44.5
5/31/2014,39
6/1/2014,34.25
6/2/2014,41.375
6/3/2014,33.625
6/4/2014,33.125
6/5/2014,26.875
6/6/2014,27.625
6/7/2014,22.75
6/8/2014,26.25
6/9/2014,32.125
6/10/2014,20.875
6/11/2014,23.125
6/12/2014,39.25
6/13/2014,55.125
6/14/2014,66.875
6/15/2014,52
6/16/2014,41.375
6/17/2014,42.125
6/18/2014,58
6/19/2014,47.875
6/20/2014,36.125
6/21/2014,40.125
6/22/2014,46.75
6/23/2014,49.75
6/24/2014,46.25
6/25/2014,53.25
6/26/2014,60.375
6/27/2014,48.5
6/28/2014,49
6/29/2014,57.75
6/30/2014,67.75
7/1/2014,65.125
7/2/2014,71.375
7/3/2014,75.125
7/4/2014,69
7/5/2014,52.05882353
7/6/2014,61.125
7/7/2014,48.75
7/8/2014,39.5
7/9/2014,37.125
7/10/2014,38.75
7/11/2014,38.625
7/12/2014,51.375
7/13/2014,69.75
7/14/2014,67.875
7/15/2014,62.625
7/16/2014,63
7/17/2014,74.25
7/18/2014,83.875
7/19/2014,71
7/20/2014,68.875
7/21/2014,65.5
7/22/2014,69.75
7/23/2014,72.875
7/24/2014,63.625
7/25/2014,63.25
7/26/2014,61.5
7/27/2014,65.42857143
7/28/2014,75.75
7/29/2014,69.875
7/30/2014,65.75
7/31/2014,65.75
8/1/2014,59.5
8/2/2014,77.75
8/3/2014,66.25
8/4/2014,69.75
8/5/2014,77.5
8/6/2014,65
8/7/2014,65.375
8/8/2014,67.875
8/9/2014,80.47058824
8/10/2014,89.90625
8/11/2014,72.125
8/12/2014,57.5
8/13/2014,57.71428571
8/14/2014,57.5
8/15/2014,54.875
8/16/2014,59.85714286
8/17/2014,53.875
8/18/2014,56.625
8/19/2014,52.42857143
8/20/2014,47.125
8/21/2014,43
8/22/2014,47.125
8/23/2014,45.75
8/24/2014,46.25
8/25/2014,46.625
8/26/2014,40.25
8/27/2014,44.71428571
8/28/2014,67.75
8/29/2014,69.25
8/30/2014,78.125
8/31/2014,86.125
9/1/2014,65.85714286
9/2/2014,71
9/3/2014,77.875
9/4/2014,80.75
9/5/2014,85.75
9/6/2014,76.875
9/7/2014,67.625
9/8/2014,66.375
9/9/2014,70.125
9/10/2014,77.5
9/11/2014,85.71428571
9/12/2014,73
9/13/2014,68.25
9/14/2014,65.5
9/15/2014,63.125
9/16/2014,65.125
9/17/2014,61.875
9/18/2014,62.375
9/19/2014,56.625
9/20/2014,55.75
9/21/2014,54.875
9/22/2014,50
9/23/2014,47
9/24/2014,53
9/25/2014,52.5
9/26/2014,52.5
9/27/2014,46.875
9/28/2014,48.875
9/29/2014,48.75
9/30/2014,50.125
10/1/2014,52.85714286
10/2/2014,53.375
10/3/2014,52.625
10/4/2014,53.5
10/5/2014,56.125
10/6/2014,56.75
10/7/2014,59.375
10/8/2014,52.75
10/9/2014,49.875
10/10/2014,57.375
10/11/2014,57.14285714
10/12/2014,58.625
10/13/2014,59.75
10/14/2014,67.625
10/15/2014,68
10/16/2014,58.875
10/17/2014,47.66666667
10/18/2014,56.14285714
10/19/2014,57.75
10/20/2014,55.625
10/21/2014,56.125
10/22/2014,64.875
10/23/2014,66
10/24/2014,67.5
10/25/2014,67.125
10/26/2014,65.5
10/27/2014,62.875
10/28/2014,64.75
10/29/2014,65.75
10/30/2014,61.375
10/31/2014,58.25
11/1/2014,50.875
11/2/2014,49.125
11/3/2014,52.75
11/4/2014,56.625
11/5/2014,56.25
11/6/2014,56.25
11/7/2014,66.125
11/8/2014,66.25
11/9/2014,56.375
11/10/2014,52.125
11/11/2014,55.125
11/12/2014,52
11/13/2014,50.5
11/14/2014,43
11/15/2014,44.75
11/16/2014,47.625
11/17/2014,51.75
11/18/2014,53
11/19/2014,58.125
11/20/2014,54.625
11/21/2014,62.125
11/22/2014,58.875
11/23/2014,57.375
11/24/2014,52.25
11/25/2014,51.5
11/26/2014,51
11/27/2014,63.875
11/28/2014,67.375
11/29/2014,67.625
11/30/2014,54.75
12/1/2014,42.625
12/2/2014,47.625
12/3/2014,66.57142857
12/4/2014,68.875
12/5/2014,59.875
12/6/2014,48.875
12/7/2014,48.375
12/8/2014,49.875
12/9/2014,67.57142857
12/10/2014,65.5
12/11/2014,70.5
12/12/2014,65.625
12/13/2014,71.875
12/14/2014,86.625
12/15/2014,75.75
12/16/2014,72.375
12/17/2014,72.125
12/18/2014,79.75
12/19/2014,81.75
12/20/2014,77
12/21/2014,79.125
12/22/2014,85
12/23/2014,78.625
12/24/2014,83
12/25/2014,81.125
12/26/2014,77
12/27/2014,69
12/28/2014,86
12/29/2014,72.625
12/30/2014,70.625
12/31/2014,67.125
1/1/2015,72
1/2/2015,96.625
1/3/2015,92
1/4/2015,78.75
1/5/2015,69.375
1/6/2015,79.875
1/7/2015,86
1/8/2015,87.875
1/9/2015,80.625
1/10/2015,73.125
1/11/2015,80.75
1/12/2015,79.5
1/13/2015,77.875
1/14/2015,82.25
1/15/2015,79.125
1/16/2015,78.125
1/17/2015,76.625
1/18/2015,73.875
1/19/2015,78
1/20/2015,74.375
1/21/2015,73.375
1/22/2015,94.125
1/23/2015,85
1/24/2015,86.25
1/25/2015,77.75
1/26/2015,88.125
1/27/2015,74.25
1/28/2015,67
1/29/2015,67.5
1/30/2015,56.125
1/31/2015,57.625
2/1/2015,65.25
2/2/2015,63.875
2/3/2015,71.25
2/4/2015,81.125
2/5/2015,62.875
2/6/2015,62.625
2/7/2015,67.625
2/8/2015,63.875
2/9/2015,63.5
2/10/2015,64
2/11/2015,66.625
2/12/2015,69.625
2/13/2015,59
2/14/2015,63.125
2/15/2015,70.125
2/16/2015,71.25
2/17/2015,72.57142857
2/18/2015,72.875
2/19/2015,73.5
2/20/2015,67.125
2/21/2015,63.5
2/22/2015,58.85714286
2/23/2015,74.375
2/24/2015,72.375
2/25/2015,58.625
2/26/2015,34.375
2/27/2015,43.125
2/28/2015,45.5
3/1/2015,92.75
3/2/2015,89.875
3/3/2015,82.5
3/4/2015,69.25
3/5/2015,64
3/6/2015,62.375
3/7/2015,80.375
3/8/2015,74.125
3/9/2015,54.25
3/10/2015,68.5
3/11/2015,69.875
3/12/2015,63.375
3/13/2015,65.25
3/14/2015,64.625
3/15/2015,89.125
3/16/2015,81.85714286
3/17/2015,70.375
3/18/2015,69.625
3/19/2015,66
3/20/2015,65.75
3/21/2015,60.5
3/22/2015,64
3/23/2015,65.75
3/24/2015,65.5
3/25/2015,65.625
3/26/2015,54.375
3/27/2015,51.375
3/28/2015,53.625
3/29/2015,52.75
3/30/2015,66.25
3/31/2015,64.875
4/1/2015,59.71428571
4/2/2015,45.28571429
4/3/2015,71.125
4/4/2015,77.5
4/5/2015,67.71428571
4/6/2015,60.125
4/7/2015,62.125
4/8/2015,50.375
4/9/2015,52.875
4/10/2015,52.25
4/11/2015,44.875
4/12/2015,63
4/13/2015,70.875
4/14/2015,62.75
4/15/2015,59.25
4/16/2015,58.25
4/17/2015,48.75
4/18/2015,44.5
4/19/2015,41
4/20/2015,37.875
4/21/2015,28.5
4/22/2015,30.25
4/23/2015,33
4/24/2015,39.5
4/25/2015,43.125
4/26/2015,51.125
4/27/2015,53
4/28/2015,48.25
4/29/2015,47.25
4/30/2015,44.75
5/1/2015,43.5
5/2/2015,40.25
5/3/2015,39.25
5/4/2015,39.25
5/5/2015,31.125
5/6/2015,22
5/7/2015,13.42857143
5/8/2015,22.375
5/9/2015,27
5/10/2015,25
5/11/2015,32.625
5/12/2015,46
5/13/2015,61
5/14/2015,49.625
5/15/2015,52.125
5/16/2015,51.625
5/17/2015,40.375
5/18/2015,35.75
5/19/2015,44
5/20/2015,31.625
5/21/2015,24.625
5/22/2015,19.5
5/23/2015,21.75
5/24/2015,29.25
5/25/2015,22.25
5/26/2015,26.625
5/27/2015,20.5
5/28/2015,29.5
5/29/2015,27.25
5/30/2015,38.75
5/31/2015,25
6/1/2015,41.75
6/2/2015,39.25
6/3/2015,50.5
6/4/2015,48.375
6/5/2015,39.875
6/6/2015,39.75
6/7/2015,36.25
6/8/2015,33
6/9/2015,23.875
6/10/2015,32.28571429
6/11/2015,34.75
6/12/2015,34.625
6/13/2015,48.125
6/14/2015,77.625
6/15/2015,60.75
6/16/2015,52.125
6/17/2015,49.75
6/18/2015,45.125
6/19/2015,46.75
6/20/2015,48.5
6/21/2015,63.625
6/22/2015,59.5
6/23/2015,61.625
6/24/2015,63.875
6/25/2015,82.75
6/26/2015,54.25
6/27/2015,48.25
6/28/2015,47.5
6/29/2015,56.625
6/30/2015,58.625
7/1/2015,53.25
7/2/2015,45.875
7/3/2015,49
7/4/2015,51.5
7/5/2015,47.28571429
7/6/2015,83.25
7/7/2015,86.125
7/8/2015,72
7/9/2015,77.25
7/10/2015,92.125
7/11/2015,98
7/12/2015,94.75
7/13/2015,73.125
7/14/2015,67.875
7/15/2015,52.875
7/16/2015,61.375
7/17/2015,75.625
7/18/2015,78.875
7/19/2015,70
7/20/2015,78
7/21/2015,69.25
7/22/2015,64.125
7/23/2015,64.875
7/24/2015,64.75
7/25/2015,71
7/26/2015,71.625
7/27/2015,69
7/28/2015,61
7/29/2015,68.125
7/30/2015,67.75
7/31/2015,71
8/1/2015,71.75
8/2/2015,69.5
8/3/2015,58.625
8/4/2015,77.78571429
8/5/2015,79.65625
8/6/2015,79.125
8/7/2015,83
8/8/2015,84.875
8/9/2015,90.125
8/10/2015,77
8/11/2015,86.625
8/12/2015,74.25
8/13/2015,69.5
8/14/2015,72.625
8/15/2015,85.5
8/16/2015,82.625
8/17/2015,72.625
8/18/2015,72.875
8/19/2015,61.25
8/20/2015,58.625
8/21/2015,72
8/22/2015,65.375
8/23/2015,69.375
8/24/2015,65.625
8/25/2015,57.28571429
8/26/2015,61
8/27/2015,61
8/28/2015,63.5
8/29/2015,58
8/30/2015,56.5
8/31/2015,54.42857143
9/1/2015,47.625
9/2/2015,45.625
9/3/2015,49.125
9/4/2015,42.625
9/5/2015,47.25
9/6/2015,41.8
9/7/2015,46.375
9/8/2015,47
9/9/2015,47.875
9/10/2015,46.5
9/11/2015,49.75
9/12/2015,54.42857143
9/13/2015,55.25
9/14/2015,54.375
9/15/2015,55
9/16/2015,55
9/17/2015,58.375
9/18/2015,67.625
9/19/2015,74.25
9/20/2015,69.14285714
9/21/2015,64.5
9/22/2015,64.375
9/23/2015,61.25
9/24/2015,52.375
9/25/2015,49.375
9/26/2015,53.5
9/27/2015,58.14285714
9/28/2015,58.5
9/29/2015,54.57142857
9/30/2015,46.875
10/1/2015,51.25
10/2/2015,53.71428571
10/3/2015,52.33333333
10/4/2015,54.375
10/5/2015,59.375
10/6/2015,61.125
10/7/2015,65.75
10/8/2015,65.125
10/9/2015,59.75
10/10/2015,54.625
10/11/2015,51.57142857
10/12/2015,54.125
10/13/2015,62.875
10/14/2015,63.625
10/15/2015,66
10/16/2015,62.625
10/17/2015,63.75
10/18/2015,71.71428571
10/19/2015,66.28571429
10/20/2015,64.85714286
10/21/2015,62.125
10/22/2015,56
10/23/2015,51.625
10/24/2015,53.25
10/25/2015,47.125
10/26/2015,52.125
10/27/2015,54.25
10/28/2015,57.25
10/29/2015,63.5
10/30/2015,67.25
10/31/2015,69.375
11/1/2015,70.5
11/2/2015,71.375
11/3/2015,67.875
11/4/2015,69
11/5/2015,75.25
11/6/2015,74.375
11/7/2015,74.875
11/8/2015,70.25
11/9/2015,73.625
11/10/2015,72.625
11/11/2015,59.5
11/12/2015,60.5
11/13/2015,59.375
11/14/2015,59.625
11/15/2015,62
11/16/2015,50.375
11/17/2015,48.375
11/18/2015,57.625
11/19/2015,64.75
11/20/2015,66
11/21/2015,67.625
11/22/2015,64.875
11/23/2015,73.5
11/24/2015,63
11/25/2015,56.375
11/26/2015,59.5
11/27/2015,66.25
11/28/2015,82.125
11/29/2015,81.25
11/30/2015,82.375
12/1/2015,78.75
12/2/2015,72.125
12/3/2015,70.25
12/4/2015,67.5
12/5/2015,72.375
12/6/2015,75.875
12/7/2015,76.875
12/8/2015,71.28571429
12/9/2015,78.125
12/10/2015,77.25
12/11/2015,77.875
12/12/2015,91
12/13/2015,67
12/14/2015,63.625
12/15/2015,63.875
12/16/2015,65.5
12/17/2015,73.625
12/18/2015,71.25
12/19/2015,71.875
12/20/2015,70.25
12/21/2015,74.75
12/22/2015,79.875
12/23/2015,81.375
12/24/2015,68.625
12/25/2015,66.125
12/26/2015,64.5
12/27/2015,63.25
12/28/2015,58.125
12/29/2015,65
12/30/2015,71.75
12/31/2015,71.375
1/1/2016,72.28571429
1/2/2016,75.875
1/3/2016,74.75
1/4/2016,77.125
1/5/2016,88.83333333
1/6/2016,81.625
1/7/2016,87
1/8/2016,83.25
1/9/2016,65.14285714
1/10/2016,74.375
1/11/2016,74.875
1/12/2016,69.6875
1/13/2016,75.8
1/14/2016,80.4375
1/15/2016,84.1875
1/16/2016,80.06666667
1/17/2016,77.66666667
1/18/2016,80.46666667
1/19/2016,88.57142857
1/20/2016,84.2
1/21/2016,73.1875
1/22/2016,83.4
1/23/2016,75.875
1/24/2016,86.25
1/25/2016,75.4
1/26/2016,79.6875
1/27/2016,69.16666667
1/28/2016,69.35714286
1/29/2016,70.625
1/30/2016,78.5
1/31/2016,78.25
2/1/2016,65.76923077
2/2/2016,55.86666667
2/3/2016,66.5
2/4/2016,53
2/5/2016,70.66666667
2/6/2016,69.5
2/7/2016,77
2/8/2016,67.18181818
2/9/2016,67.46153846
2/10/2016,64.86666667
2/11/2016,54.75
2/12/2016,57.86666667
2/13/2016,62.13333333
2/14/2016,61.92857143
2/15/2016,59.53333333
2/16/2016,56.14285714
2/17/2016,59.28571429
2/18/2016,76
2/19/2016,70.23076923
2/20/2016,73.125
2/21/2016,61.125
2/22/2016,51.42857143
2/23/2016,50.64285714
2/24/2016,58.0625
2/25/2016,57.5
2/26/2016,55.6
2/27/2016,59
2/28/2016,63.0625
2/29/2016,63.9375
3/1/2016,57.41666667
3/2/2016,57.06666667
3/3/2016,55.61538462
3/4/2016,44.25
3/5/2016,57.13333333
3/6/2016,66.5625
3/7/2016,64.14285714
3/8/2016,60.21428571
3/9/2016,57.5625
3/10/2016,57.4375
3/11/2016,67.8
3/12/2016,66.9375
3/13/2016,65.1875
3/14/2016,66
3/15/2016,58.93333333
3/16/2016,53.75
3/17/2016,50.3125
3/18/2016,61.25
3/19/2016,61.85714286
3/20/2016,58.73333333
3/21/2016,43.375
3/22/2016,37.875
3/23/2016,43.26666667
3/24/2016,46.86666667
3/25/2016,50.1875
3/26/2016,62.66666667
3/27/2016,53.6875
3/28/2016,52.8
3/29/2016,47.75
3/30/2016,39.78571429
3/31/2016,39.73333333
4/1/2016,38.21428571
4/2/2016,38.5625
4/3/2016,44.25
4/4/2016,33.125
4/5/2016,29.3125
4/6/2016,33.125
4/7/2016,37
4/8/2016,36
4/9/2016,32.46666667
4/10/2016,29
4/11/2016,35
4/12/2016,36.2
4/13/2016,28.0625
4/14/2016,23.875
4/15/2016,25.375
4/16/2016,23.6875
4/17/2016,23.86666667
4/18/2016,30.125
4/19/2016,33.6
4/20/2016,25.9375
4/21/2016,24.66666667
4/22/2016,24.25
4/23/2016,21.81818182
4/24/2016,22.125
4/25/2016,22.8125
4/26/2016,25.1875
4/27/2016,29.0625
4/28/2016,21.76923077
4/29/2016,23.28571429
4/30/2016,25.5625
5/1/2016,23.375
5/2/2016,18.46666667
5/3/2016,30.375
5/4/2016,31.85714286
5/5/2016,42
5/6/2016,37.4375
5/7/2016,37.1875
5/8/2016,36.33333333
5/9/2016,40.6
5/10/2016,39.75
5/11/2016,49.9375
5/12/2016,40
5/13/2016,28.11764706
5/14/2016,31.875
5/15/2016,29.5
5/16/2016,23.5
5/17/2016,25.8125
5/18/2016,27.625
5/19/2016,40.5
5/20/2016,44.2
5/21/2016,45.4
5/22/2016,44.8
5/23/2016,47.92857143
5/24/2016,53.52631579
5/25/2016,46.60869565
5/26/2016,44.57692308
5/27/2016,26.09090909
5/28/2016,37.25
5/29/2016,57.0625
5/30/2016,74.8125
5/31/2016,51.21428571
6/1/2016,42.2
6/2/2016,35.3125
